x,y,u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.562500000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.125000000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,4.687500000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,6.250000000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.812500000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.375000000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.093750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.406250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.562500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.718750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.031250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.187500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.343750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.656250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.968750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.125000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.281250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.437500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.593750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.906250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.062500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.218750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.375000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.531250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.687500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.843750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.156250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.312500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.468750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.625000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.781250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.937500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.093750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.406250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.562500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.718750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.875000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.031250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.187500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.343750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.656250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.812500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.968750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.125000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.281250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.437500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.593750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.906250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.062500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.218750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.375000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.531250000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.687500000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.843750000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.562500000000000000e-02,3.818274828336078175e-02
1.562500000000000000e-02,3.125000000000000000e-02,7.489815496332394296e-02
1.562500000000000000e-02,4.687500000000000000e-02,1.087352675514157707e-01
1.562500000000000000e-02,6.250000000000000000e-02,1.383937447869472148e-01
1.562500000000000000e-02,7.812500000000000000e-02,1.627338280224225331e-01
1.562500000000000000e-02,9.375000000000000000e-02,1.808201415091783559e-01
1.562500000000000000e-02,1.093750000000000000e-01,1.919576383628399385e-01
1.562500000000000000e-02,1.250000000000000000e-01,1.957183108253014725e-01
1.562500000000000000e-02,1.406250000000000000e-01,1.919576383628399385e-01
1.562500000000000000e-02,1.562500000000000000e-01,1.808201415091783004e-01
1.562500000000000000e-02,1.718750000000000000e-01,1.627338280224225331e-01
1.562500000000000000e-02,1.875000000000000000e-01,1.383937447869472426e-01
1.562500000000000000e-02,2.031250000000000000e-01,1.087352675514157707e-01
1.562500000000000000e-02,2.187500000000000000e-01,7.489815496332395683e-02
1.562500000000000000e-02,2.343750000000000000e-01,3.818274828336083032e-02
1.562500000000000000e-02,2.500000000000000000e-01,6.591949208711866959e-17
1.562500000000000000e-02,2.656250000000000000e-01,-3.818274828336069154e-02
1.562500000000000000e-02,2.812500000000000000e-01,-7.489815496332381806e-02
1.562500000000000000e-02,2.968750000000000000e-01,-1.087352675514156319e-01
1.562500000000000000e-02,3.125000000000000000e-01,-1.383937447869471316e-01
1.562500000000000000e-02,3.281250000000000000e-01,-1.627338280224224221e-01
1.562500000000000000e-02,3.437500000000000000e-01,-1.808201415091781616e-01
1.562500000000000000e-02,3.593750000000000000e-01,-1.919576383628398553e-01
1.562500000000000000e-02,3.750000000000000000e-01,-1.957183108253014447e-01
1.562500000000000000e-02,3.906250000000000000e-01,-1.919576383628399385e-01
1.562500000000000000e-02,4.062500000000000000e-01,-1.808201415091783004e-01
1.562500000000000000e-02,4.218750000000000000e-01,-1.627338280224225331e-01
1.562500000000000000e-02,4.375000000000000000e-01,-1.383937447869472148e-01
1.562500000000000000e-02,4.531250000000000000e-01,-1.087352675514157430e-01
1.562500000000000000e-02,4.687500000000000000e-01,-7.489815496332395683e-02
1.562500000000000000e-02,4.843750000000000000e-01,-3.818274828336078175e-02
1.562500000000000000e-02,5.000000000000000000e-01,1.040834085586084257e-17
1.562500000000000000e-02,5.156250000000000000e-01,3.818274828336080257e-02
1.562500000000000000e-02,5.312500000000000000e-01,7.489815496332398459e-02
1.562500000000000000e-02,5.468750000000000000e-01,1.087352675514158540e-01
1.562500000000000000e-02,5.625000000000000000e-01,1.383937447869473814e-01
1.562500000000000000e-02,5.781250000000000000e-01,1.627338280224226996e-01
1.562500000000000000e-02,5.937500000000000000e-01,1.808201415091784947e-01
1.562500000000000000e-02,6.093750000000000000e-01,1.919576383628401883e-01
1.562500000000000000e-02,6.250000000000000000e-01,1.957183108253018056e-01
1.562500000000000000e-02,6.406250000000000000e-01,1.919576383628402438e-01
1.562500000000000000e-02,6.562500000000000000e-01,1.808201415091785225e-01
1.562500000000000000e-02,6.718750000000000000e-01,1.627338280224226996e-01
1.562500000000000000e-02,6.875000000000000000e-01,1.383937447869473536e-01
1.562500000000000000e-02,7.031250000000000000e-01,1.087352675514158817e-01
1.562500000000000000e-02,7.187500000000000000e-01,7.489815496332402622e-02
